source_artifact,source_csv_row,model_id,mask_id,cell_id,window_hours,polynomial_degree,joint_model_weight,sector,timescale_minutes,filled_bins,eligible,unbinned_rms,binned_rms,effective_cadences_per_bin,finite_bin_correction,white_noise_rms,beta,weighted_beta_contribution
outputs/faz6r_joint_fits.csv,7,raw_valid::W16_P2,raw_valid,W16_P2,16,2,0.045454545454545456,100,40,65,True,0.00047412105626617361,0.00010702191045871716,19.533412415974691,1.0077822185373186,0.00010811025079005624,0.98993305146010091,0.044996956884550042
outputs/faz6r_joint_fits.csv,7,raw_valid::W16_P2,raw_valid,W16_P2,16,2,0.045454545454545456,100,80,33,True,0.00047412105626617361,9.195877274453461e-05,35.65096952908587,1.0155048005794951,8.0637220865779774e-05,1.1404010673631659,0.051836412152871179
outputs/faz6r_joint_fits.csv,7,raw_valid::W16_P2,raw_valid,W16_P2,16,2,0.045454545454545456,100,160,17,True,0.00047412105626617361,8.5762219991079752e-05,52.282238442822383,1.0307764064044151,6.7589094145763525e-05,1.2688766002119192,0.057676209100541782
outputs/faz6r_joint_fits.csv,7,raw_valid::W16_P2,raw_valid,W16_P2,16,2,0.045454545454545456,100,320,9,True,0.00047412105626617361,9.4117720303638587e-05,51.41702223220301,1.0606601717798212,7.0131324950521606e-05,1.3420211349213726,0.061000960678244211
outputs/faz6r_joint_fits.csv,7,raw_valid::W16_P2,raw_valid,W16_P2,16,2,0.045454545454545456,100,360,8,True,0.00047412105626617361,1.9646943848838561e-05,156.03292768460298,1.0690449676496976,4.0576734010781063e-05,0.48419234144419937,0.022008742792918153
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,37,20,120,True,0.00046505722457122235,0.00016681815608782528,9.9966341299225832,1.0041928905068676,0.00014770549044241222,1.1293971238859584,0.051336232903907202
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,37,40,60,True,0.00046505722457122235,0.00011815911413249942,19.996658870698301,1.0084389681792214,0.00010487628518952083,1.1266523591961264,0.0512114708725512
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,37,80,30,True,0.00046505722457122235,9.12273330280083e-05,39.996664860132562,1.0170952554312156,7.47921700763017e-05,1.2197444322706472,0.055442928739574876
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,37,160,16,True,0.00046505722457122235,6.3877681131685042e-05,70.804790922462701,1.0327955589886444,5.7080718993712728e-05,1.1190763231051974,0.050867105595690791
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,37,320,8,True,0.00046505722457122235,2.0070428249613257e-05,147.52231766885632,1.0690449676496976,4.0932993407771734e-05,0.49032398021012041,0.022287453645914564
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,37,360,8,True,0.00046505722457122235,3.190357549032666e-05,119.10034387682394,1.0690449676496976,4.5556029050334182e-05,0.70031510988538692,0.031832504994790317
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,63,20,169,True,0.00048455852892372313,0.00016359566775808987,9.1620592474668161,1.0029717747535973,0.00016056038678803511,1.0189042953294689,0.046313831605884953
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,63,40,89,True,0.00048455852892372313,0.00012526833857803995,14.407665870904978,1.0056657677198904,0.0001283816920557937,0.97574924097120708,0.044352238225963958
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,63,80,49,True,0.00048455852892372313,0.00010241723947569633,16.72198064510026,1.0103629710818451,0.00011972361047990746,0.8554473012061764,0.038883968236644383
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,63,160,31,True,0.00048455852892372313,9.076907897522924e-05,14.33812303553136,1.0165300454651272,0.00013008292997335552,0.69777855552470403,0.031717207069304726
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,63,320,21,True,0.00048455852892372313,0.00010147554459690459,10.811480784761565,1.0246950765959599,0.00015100742477245965,0.67199043192617536,0.030545019633007972
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,63,360,21,True,0.00048455852892372313,0.00010602747057284942,10.742349413176003,1.0246950765959599,0.00015149254252728252,0.69988574225529798,0.031812988284331725
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,64,20,184,True,0.0004687790191444819,0.00016373653448559906,9.1297156808694968,1.0027285180318335,0.00015556894488101523,1.0525014141532598,0.047840973370602717
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,64,40,96,True,0.0004687790191444819,0.00014127055304204706,15.214677596255081,1.0052493799000692,0.00012081214713261755,1.1693406366412142,0.053151847120055197
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,64,80,54,True,0.0004687790191444819,0.00014058508518751791,18.28229803306569,1.0093898773656798,0.00011066536452469613,1.2703621028252692,0.05774373194660315
outputs/faz6r_joint_fits.csv,8,raw_valid::W20_P2,raw_valid,W20_P2,20,2,0.045454545454545456,64,160,34,True,0.0004687790191444819,0.0001542634225747695,19.723925479795216,1.0150384378451045,0.00010714057629643076,1.439822594830569,0.065446481583207677
