source_id,ra,dec,separation_arcsec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,astrometric_excess_noise,duplicated_source,non_single_star,is_target_match,delta_g_mag,flux_ratio_vs_target,max_depth_if_fully_eclipsed_ppm,max_depth_if_50pct_eclipsed_ppm,can_mimic_full_eclipse,can_mimic_50pct_eclipse,delta_ra_arcsec,delta_dec_arcsec
5347362071687954944,166.64881741546327,-53.72878673025498,28.307649280936054,0.05480700417236883,0.25340647,-3.6771008476888833,0.31068668,0.936294442288671,0.2598678,19.349718,19.826862,18.78292,1.0320272,0.624898,False,0,False,10.519589,6.196755e-05,61.963706970214844,30.981853485107422,False,False,25.867342942643123,11.495771082067563
5347362037328148992,166.64171180784015,-53.73935889580876,28.65080036991281,-0.23646039839997396,0.3261546,-7.947868633069843,0.4119458,-1.0394910033241116,0.3606805,18.995495,19.30094,18.138535,2.0175865,2.5481658,False,0,False,10.165366,8.58724e-05,85.86502838134766,42.93251419067383,False,False,10.735044055045833,-26.56402491154779
5347362071691053184,166.65022244594215,-53.73348616705429,29.363977471082656,-1.1747866866028922,1.5763035,-9.121947921282493,2.392795,5.180166524307767,1.9101951,20.712618,21.564466,19.475359,2.401523,10.870387,False,0,False,11.882489,1.7660543e-05,17.660232543945312,8.830116271972656,False,False,28.859534783267325,-5.422201395435877
5347373788361827456,166.62318016520928,-53.73024315104181,29.40355232917001,0.3982117376427776,0.6480985,-5.004076107712705,0.8277612,4.100107036719836,0.73437697,20.36346,,,1.0088581,0.0,False,0,False,11.533332,2.4359437e-05,24.358842849731445,12.179421424865723,False,False,-28.730455595711494,6.25265624947815
5347373788371973504,166.62323116527514,-53.7294546605314,30.03180824921336,0.10813689411595734,0.07258945,0.3555484896202929,0.088147655,0.38828463442054467,0.07999537,17.359097,17.970451,16.622383,0.9936763,0.0,False,0,False,8.528968,0.00038762589,387.4756774902344,193.7378387451172,False,False,-28.621844442251877,9.091222086951234
5347373784060230144,166.62253454359444,-53.73063493888012,30.49279511689448,0.3465894832601262,0.09357243,-5.387261659248431,0.11275995,0.8878805678846078,0.094764225,17.839151,18.369646,17.124668,1.0180786,0.0,False,0,False,9.009023,0.00024910987,249.04782104492188,124.52391052246094,False,False,-30.105389276571433,4.842220031559918
5347362071689449984,166.6318215744312,-53.72390671869313,30.844486534734983,0.021862776039839826,0.4895612,-9.966526693858704,0.61158574,6.2178798170115055,0.5394301,20.119186,20.906563,19.417227,1.092374,1.2861873,False,0,False,11.289058,3.0505413e-05,30.50448226928711,15.252241134643555,False,False,-10.327471066879669,29.06381270473446
5347362071701207040,166.64895832749318,-53.72740225960332,30.925637904902597,-0.9806044214422166,0.32256517,-5.924241342904863,0.39152324,3.531752442343521,0.33143026,19.589579,20.137217,18.61465,1.1579517,1.2081367,False,0,False,10.75945,4.9684386e-05,49.681915283203125,24.840957641601562,False,False,26.167433106143857,16.479865428036078
5347362037331310848,166.64208132172172,-53.74003342906767,31.19753887343723,0.35671838303854286,0.8345322,-5.554634476834135,1.0168557,0.5778882594827071,0.9064319,20.56649,21.24492,19.763113,1.017462,0.52361375,False,0,False,11.7363615,2.020483e-05,20.204423904418945,10.102211952209473,False,False,11.52197105630304,-28.992344643620527
5347373788358688768,166.62355705056015,-53.727702661503486,31.892857278212006,-0.1880851905508446,0.24141222,-5.7972190965216415,0.29031202,1.9500673707004503,0.2379122,19.21794,19.75599,18.562304,1.0399841,0.56319356,False,0,False,10.387811,6.996419e-05,69.95928955078125,34.979644775390625,False,False,-27.92783010915408,15.398418587452056
5347373788361826560,166.62168993685844,-53.731815406890135,31.909651495315313,-1.6486850766274388,1.5587964,-5.051050402169214,1.6665362,0.623560066784215,1.2962773,20.840435,21.322826,20.360996,1.0880836,2.2109504,False,0,False,12.010306,1.5699201e-05,15.698953628540039,7.8494768142700195,False,False,-31.904087185245857,0.5925351955141878
5347362071687918208,166.6499482752364,-53.73613818065538,31.992466688753527,-0.11760212603064174,0.4928829,-5.597116780543601,0.6110656,2.1385411315600855,0.507271,20.057905,20.819536,19.624224,1.0659658,1.1706877,False,0,False,11.227777,3.2276705e-05,32.27566146850586,16.13783073425293,False,False,28.275653251144792,-14.96945035937074
